month,channel,spend,impressions,clicks
2025-01-01,Display - Programmatic,2915.5,526484,5455
2025-01-01,Paid Search - Brand,2057.17,184130,1060
2025-01-01,Paid Social - Meta,6599.51,862128,6356
2025-01-01,Paid Search - Non-Brand,8742.03,110995,1886
2025-01-01,Paid Social - LinkedIn,5264.96,29952,529
2025-02-01,Display - Programmatic,2323.29,216108,4235
2025-02-01,Paid Search - Brand,1862.13,69305,978
2025-02-01,Paid Social - Meta,5592.5,718530,5291
2025-02-01,Paid Search - Non-Brand,9317.3,377719,2212
2025-02-01,Paid Social - LinkedIn,6815.33,40667,700
2025-03-01,Display - Programmatic,3778.4,361685,6744
2025-03-01,Paid Search - Brand,2166.36,58195,991
2025-03-01,Paid Social - Meta,6520.27,322442,6559
2025-03-01,Paid Search - Non-Brand,9457.45,168132,2192
2025-03-01,Paid Social - LinkedIn,6016.95,120263,650
2025-04-01,Display - Programmatic,2741.72,252395,4795
2025-04-01,Paid Search - Brand,2199.98,70078,1073
2025-04-01,Paid Social - Meta,6315.85,985322,6309
2025-04-01,Paid Search - Non-Brand,8104.03,339740,1982
2025-04-01,Paid Social - LinkedIn,5496.22,146991,602
2025-05-01,Display - Programmatic,2476.96,250607,4804
2025-05-01,Paid Search - Brand,2145.13,108469,1045
2025-05-01,Paid Social - Meta,6699.88,881744,6088
2025-05-01,Paid Search - Non-Brand,9012.42,199312,2155
2025-05-01,Paid Social - LinkedIn,6898.31,50064,695
2025-06-01,Display - Programmatic,2878.13,244453,4821
2025-06-01,Paid Search - Brand,2025.85,51209,1024
2025-06-01,Paid Social - Meta,6801.34,408119,6021
2025-06-01,Paid Search - Non-Brand,9742.29,152389,2373
2025-06-01,Paid Social - LinkedIn,5597.71,48757,607
2025-07-01,Display - Programmatic,2758.09,274854,4849
2025-07-01,Paid Search - Brand,2301.01,97456,1167
2025-07-01,Paid Social - Meta,6340.71,458460,6462
2025-07-01,Paid Search - Non-Brand,9777.89,281245,2263
2025-07-01,Paid Social - LinkedIn,5531.97,72551,562
2025-08-01,Display - Programmatic,3818.37,611565,6906
2025-08-01,Paid Search - Brand,1906.01,195628,998
2025-08-01,Paid Social - Meta,7473.73,413022,7148
2025-08-01,Paid Search - Non-Brand,10122.01,585634,2403
2025-08-01,Paid Social - LinkedIn,5986.9,61991,635
2025-09-01,Display - Programmatic,2559.57,231728,4565
2025-09-01,Paid Search - Brand,1779.92,78379,831
2025-09-01,Paid Social - Meta,8450.43,747808,7618
2025-09-01,Paid Search - Non-Brand,8898.44,96398,1971
2025-09-01,Paid Social - LinkedIn,5541.22,34042,561
2025-10-01,Display - Programmatic,3473.07,391959,6715
2025-10-01,Paid Search - Brand,2187.78,59174,1058
2025-10-01,Paid Social - Meta,10006.31,642529,9516
2025-10-01,Paid Search - Non-Brand,8473.11,184326,2126
2025-10-01,Paid Social - LinkedIn,4076.57,101066,411
2025-11-01,Display - Programmatic,3256.01,391467,5879
2025-11-01,Paid Search - Brand,2126.07,139077,1070
2025-11-01,Paid Social - Meta,9101.27,534390,9228
2025-11-01,Paid Search - Non-Brand,9090.89,206716,2053
2025-11-01,Paid Social - LinkedIn,4888.94,78641,535
2025-12-01,Display - Programmatic,3399.78,786169,5952
2025-12-01,Paid Search - Brand,2054.74,149126,946
2025-12-01,Paid Social - Meta,10587.43,672618,10693
2025-12-01,Paid Search - Non-Brand,9880.02,119394,2246
2025-12-01,Paid Social - LinkedIn,4580.42,52854,465
2026-01-01,Display - Programmatic,3210.95,653404,5529
2026-01-01,Paid Search - Brand,2153.89,84111,1003
2026-01-01,Paid Social - Meta,8255.55,582439,7486
2026-01-01,Paid Search - Non-Brand,7978.68,170889,1787
2026-01-01,Paid Social - LinkedIn,4668.59,34273,497
2026-02-01,Display - Programmatic,3453.38,562039,6193
2026-02-01,Paid Search - Brand,2525.81,183535,1268
2026-02-01,Paid Social - Meta,10533.34,805160,10760
2026-02-01,Paid Search - Non-Brand,11081.62,122914,2478
2026-02-01,Paid Social - LinkedIn,5744.03,39918,553
2026-03-01,Display - Programmatic,3369.71,390640,5687
2026-03-01,Paid Search - Brand,2160.13,132586,997
2026-03-01,Paid Social - Meta,8774.18,483650,8799
2026-03-01,Paid Search - Non-Brand,8527.43,104704,1926
2026-03-01,Paid Social - LinkedIn,5574.99,77020,581
2026-04-01,Display - Programmatic,3293.01,291860,5965
2026-04-01,Paid Search - Brand,1753.37,50206,902
2026-04-01,Paid Social - Meta,9625.85,1727965,9521
2026-04-01,Paid Search - Non-Brand,8597.97,107394,2119
2026-04-01,Paid Social - LinkedIn,4885.38,78248,494
2026-05-01,Display - Programmatic,2464.63,303565,4311
2026-05-01,Paid Search - Brand,2481.7,214942,1280
2026-05-01,Paid Social - Meta,9563.18,733748,8941
2026-05-01,Paid Search - Non-Brand,11241.72,195607,2800
2026-05-01,Paid Social - LinkedIn,4312.48,34329,470
2026-06-01,Display - Programmatic,2275.47,376429,4402
2026-06-01,Paid Search - Brand,1783.33,86699,887
2026-06-01,Paid Social - Meta,8852.25,1421984,7981
2026-06-01,Paid Search - Non-Brand,10472.52,172807,2299
2026-06-01,Paid Social - LinkedIn,4868.68,33497,479
