deal_id,lead_id,deal_created_date,stage,amount,is_closed,is_closed_won,close_date
D00465,L008022,2026-06-30,Negotiation,63500,false,false,
D00302,L004836,2026-01-08,Closed Won,20250,true,true,2026-03-19
D00285,L004589,2025-12-04,Closed Lost,16750,true,false,2026-03-26
D00079,L001251,2025-03-27,Closed Won,13750,true,true,2025-06-23
D00347,L005782,2026-02-04,Closed Lost,10500,true,false,2026-03-20
D00063,L001067,2025-03-07,Closed Lost,42500,true,false,2025-06-29
D00378,L006556,2026-03-27,Discovery,63250,false,false,
D00502,,2025-03-26,Closed Won,32500,true,true,2025-08-02
D00454,L007734,2026-06-19,Discovery,62250,false,false,
D00070,L001156,2025-03-28,Closed Won,38250,true,true,2025-05-13
D00359,L006155,2026-02-19,Closed Lost,70750,true,false,2026-04-23
D00010,L000183,2025-01-20,Closed Lost,12000,true,false,2025-05-07
D00242,L003720,2025-09-12,Closed Lost,18500,true,false,2025-12-25
D00505,,2025-09-01,Closed Won,44750,true,true,2025-12-05
D00266,L004177,2025-10-27,Closed Lost,34750,true,false,2026-01-21
D00101,L001588,2025-05-02,Closed Won,43750,true,true,2025-06-24
D00105,L001621,2025-04-25,Closed Lost,13250,true,false,2025-08-18
D00349,L005806,2026-03-03,Closed Lost,67500,true,false,2026-04-09
D00222,L003345,2025-09-09,Closed Lost,60750,true,false,2025-12-22
D00275,L004355,2025-11-24,Closed Lost,32000,true,false,2026-01-21
D00253,L003919,2025-10-29,Closed Lost,55250,true,false,2026-01-03
D00215,L003305,2025-09-04,Closed Lost,33500,true,false,2025-11-16
D00392,L006768,2026-04-22,Closed Lost,10500,true,false,2026-06-28
D00313,L005214,2026-01-09,Closed Lost,24250,true,false,2026-04-01
D00330,L005392,2026-02-02,Closed Lost,64500,true,false,2026-04-06
D00095,L001477,2025-05-05,Closed Lost,15500,true,false,2025-08-23
D00306,L005061,2025-12-23,Closed Lost,17500,true,false,2026-02-25
D00196,L002856,2025-07-12,Closed Won,18500,true,true,2025-12-11
D00106,L001637,2025-04-29,Closed Won,59500,true,true,2025-08-29
D00111,L001724,2025-05-24,Closed Won,33500,true,true,2025-07-11
D00231,L003560,2025-09-24,Closed Lost,7750,true,false,2025-12-13
D00094,L001452,2025-04-25,Closed Lost,31750,true,false,2025-07-21
D00117,L001773,2025-05-30,Closed Won,52000,true,true,2025-07-21
D00447,L007617,2026-05-27,Proposal,50750,false,false,
D00248,L003836,2025-11-10,Closed Lost,20750,true,false,2026-01-15
D00211,L003237,2025-08-21,Closed Lost,31250,true,false,2025-11-29
D00343,L005663,2026-01-30,Closed Lost,14500,true,false,2026-04-13
D00126,L001827,2025-06-05,Closed Lost,34750,true,false,2025-07-17
D00342,L005650,2026-01-20,Closed Lost,52500,true,false,2026-04-12
D00109,L001659,2025-05-04,Closed Lost,34750,true,false,2025-06-02
D00400,L006898,2026-05-03,Evaluation,29000,false,false,
D00432,L007386,2026-05-09,Discovery,12750,false,false,
D00166,L002334,2025-07-05,Closed Lost,17500,true,false,2025-09-18
D00294,L004706,2025-12-04,Closed Won,44000,true,true,2026-01-01
D00399,L006877,2026-05-04,Closed Won,26500,true,true,2026-06-30
D00182,L002605,2025-07-17,Closed Lost,30750,true,false,2025-09-15
D00009,L000132,2025-01-20,Closed Won,37500,true,true,2025-04-05
D00074,L001194,2025-03-24,Closed Lost,90750,true,false,2025-05-24
D00152,L002151,2025-06-14,Closed Won,21500,true,true,2025-08-15
D00060,L000982,2025-03-20,Closed Lost,20750,true,false,2025-05-20
D00292,L004703,2025-12-06,Closed Lost,58500,true,false,2026-01-14
D00403,L007049,2026-05-15,Negotiation,26750,false,false,
D00154,L002156,2025-06-18,Closed Lost,21250,true,false,2025-08-25
D00151,L002101,2025-06-24,Closed Lost,10750,true,false,2025-10-10
D00279,L004388,2025-11-29,Closed Lost,20500,true,false,2026-01-22
D00415,L007232,2026-06-10,Discovery,53750,false,false,
D00309,L005168,2026-01-06,Closed Lost,47500,true,false,2026-02-08
D00062,L001018,2025-04-12,Closed Lost,16500,true,false,2025-07-15
D00048,L000787,2025-02-20,Closed Lost,66750,true,false,2025-05-10
D00489,,2025-10-21,Closed Lost,14500,true,false,2025-12-17
D00344,L005696,2026-02-23,Closed Lost,13000,true,false,2026-05-26
D00113,L001765,2025-05-28,Closed Lost,14250,true,false,2025-07-12
D00209,L003067,2025-08-27,Closed Lost,8250,true,false,2025-12-23
D00425,L007265,2026-05-18,Evaluation,69500,false,false,
D00437,L007520,2026-05-28,Evaluation,32250,false,false,
D00448,L007618,2026-06-13,Negotiation,85750,false,false,
D00246,L003743,2025-09-21,Closed Won,17000,true,true,2025-11-16
D00498,,2026-05-20,Discovery,12500,false,false,
D00493,,2025-10-01,Closed Lost,55000,true,false,2025-11-15
D00383,L006620,2026-03-21,Evaluation,24000,false,false,
D00354,L005893,2026-03-05,Closed Lost,44000,true,false,2026-05-16
D00321,L005347,2026-02-05,Closed Lost,31500,true,false,2026-03-11
D00470,L008100,2026-06-29,Evaluation,38250,false,false,
D00234,L003636,2025-09-16,Closed Lost,21000,true,false,2025-11-12
D00147,L002027,2025-05-21,Closed Lost,41500,true,false,2025-10-31
D00078,L001245,2025-04-08,Closed Lost,25750,true,false,2025-05-06
D00176,L002460,2025-06-20,Closed Won,70250,true,true,2025-09-14
D00280,L004398,2025-11-30,Closed Won,23250,true,true,2025-12-20
D00317,L005254,2026-01-11,Closed Won,40000,true,true,2026-02-12
D00008,L000115,2025-01-28,Closed Won,14750,true,true,2025-04-11
D00136,L001953,2025-06-15,Closed Lost,33000,true,false,2025-08-25
D00410,L007116,2026-04-23,Closed Won,10000,true,true,2026-06-05
D00511,,2025-06-04,Closed Won,35000,true,true,2025-09-13
D00439,L007532,2026-05-30,Proposal,32000,false,false,
D00256,L003935,2025-11-11,Closed Won,39500,true,true,2025-12-26
D00472,L008107,2026-07-01,Discovery,45750,false,false,
D00488,,2025-06-24,Closed Won,61750,true,true,2025-09-24
D00419,L007244,2026-05-21,Closed Lost,45750,true,false,2026-06-13
D00386,L006670,2026-03-12,Closed Lost,62250,true,false,2026-06-13
D00299,L004829,2025-12-09,Closed Lost,10750,true,false,2026-02-18
D00123,L001797,2025-05-08,Closed Won,51000,true,true,2025-07-21
D00444,L007605,2026-05-25,Proposal,25500,false,false,
